"","CID","maxlatency","mean_latency","mean_timeRetrieve","mean_timeSend","mean_time_pubsub"
"1","Qma2ZCbj7TEtT5XgBtas6RpNeSqCt18em8DzCsUCPgetso",384,384,174135067,209975562,-0.110629000000017
"2","Qma7Sk3ZDgD4aMowtETP4R1TLbr6DGJ5Lp3vCmsZHPcpAm",401,401,151096117,252360530,-2.45664699999998
"3","QmacAsAd7HYYp6UeGszmimXjSiJwXtM24JQap4Bi7S9r2n",277,277,137204983,140779121,-0.984104000000002
"4","QmacJZFBnyGTHvx3UHa7UCDJaSnG7P5uVWmf3E8WoZwDjR",416,416,213492697,201972062,0.535240999999985
"5","QmaE7LRSM2Dq4pYFzTHbHBfzXbzTNYKGrAgof2ZMMPVMcS",415,415,173907087,241376438,-0.283524999999997
"6","Qmaehxnh7JYDhfUeJ4rcAJHDPZm6hT5aeFhCF1mvuWSD4V",323,323,155682468,168189914,-0.872382000000016
"7","QmafG15ri38yQNjXEJFTfv1UfimeVEZx4hvg3osfRQ1tMY",311,311,142831887,168067273,0.100840000000005
"8","Qmag7uQfUF1Yv5iTCUtGqmoyRCAFBBvtEsWZpvNbbAbieT",369,369,167406330,202146635,-0.552964999999972
"9","QmagJaaRdda83DvvgENQSH6uDBmfwEzpYTU4q8FW1JYBVv",332,332,172667971,160068914,-0.736884999999972
"10","QmaLULEepRH8BHnbiTi9bJopLfFKEFcp2C32s7xkX7GMwH",400,400,173985710,226603417,-0.589127000000019
"11","QmaPDRTHfhvZ58q7rGrU3GDEy9HdNfriT5EmvoVUAYLiVC",417,417,207352126,209161635,0.486239000000012
"12","QmarGxBDxmVqK1EwYw1hnDSVzsPC17LWf8GBXt8bpoFPZ6",427,427,167695031,259640223,-0.33525400000002
"13","QmatQm4FoCKmzryU9A66jKoQmWuduSXBmU366i1RaWi1uo",466,466,139281307,327687455,-0.968762000000027
"14","QmaTVNiVc8sF7kbDft3SQb13EPLejkVmQMUWtNNXvuGDMz",453,453,226896701,226713128,-0.609828999999991
"15","QmayP1ngE2qq17ri5WmMeF4bgHf31297hDU8UpKoLmxaiG",362,362,202397703,160175538,-0.573240999999996
"16","Qmb1B5HfnXW6pwihgUkec2sprD2ncyi92oAjxogYNgLD3j",381,381,172362140,210292405,-1.65454499999998
"17","QmbA7AVHZspx7uiGXEwnWUJVY63LKtcqCCnonvRdNgB36c",378,378,176968846,201301717,-0.270562999999981
"18","QmbdV54aZKyZeJ3Qb9NcjhhDYmvh6w2mWUUZMHPX7niNeN",335,335,175959318,159926499,-0.885816999999975
"19","QmbjZd7xUGRTckbkdwLw8GhjYBU45PFEkjhDKNepAHrEwH",266,266,131464183,135076772,-0.540954999999997
"20","QmbKwU5cPZQKnYaRvMjCBgJSBizb9b5nPHaE6sGppX6UzY",366,366,180815401,185154286,0.0303129999999783
"21","QmbSmAr1HG8QFNHnHfPnJuEw9j1cNWt1S9XxfFC4pcRcTT",333,333,140530915,193293645,-0.824560000000019
"22","QmbSu7QvBzkm4AWMvEg8NrLBSnHnVEJYK5VK7TFkTnx5He",413,413,203763906,210712036,-1.47594199999997
"23","QmbtLPPwxJDnBE1ax1ptwvBCJ8XZA4mPE3oNfM5KeMfhu9",283,283,132467420,151098844,-0.56626399999999
"24","QmbVxB9bCe9ARDBYXRhLU88wnw2SkPq9eeCsog5RC2Q3j4",343,343,141669130,201930403,-0.599533000000008
"25","QmbxdJZs4TDRfcDDGzVXU2kv2exL3mxz1CJNp8KYrVsNhE",396,396,165339757,231044899,-0.384656000000007
"26","QmbzWKrHybxrEFN4BSxZ5zwD8XdkpDdh2KEJSDUSfMjimq",379,379,161440906,218950026,-1.39093200000002
"27","Qmc1pxdAhuxKGJ2us8sWJBvGqK6LCsmFNgoJR9QqJzJErw",370,370,169376141,202029327,-1.40546799999998
"28","Qmc5UruZDv8CNFXJ47ZiECxvqHigTu6LqcQG7ShCkK5YSN",387,387,194320633,192678341,0.0010260000000244
"29","Qmc6r2hcxeHW3Ywb7JH5SDAf3EdVg8FvL9ktEnQeK5aVgu",309,309,140326280,168020954,0.652765999999986
"30","QmcBvu4wqzYAtA5Z3jVj8FicowSMTfkNaXT6UUSEUM9He3",406,406,220365204,185445079,0.189716999999973
"31","QmceQAXGNp6hYWoVatkE7db7QPFKHTFm1FEn93BV4Wsode",408,408,172936942,235373207,-0.310149000000024
"32","QmchJEVGR1dSAvALg5UZzMF8GkPZo6wt8DtaVHuJq5PAMN",356,356,154589979,201841947,-0.431925999999976
