"","CID","maxlatency","mean_latency","mean_timeRetrieve","mean_timeSend","mean_time_pubsub"
"1","Qma2TS1NMMFa7yKpPSFyYTiu9si9yaNTFS8Pu2kVRTzFp9",572,406.408163265306,91780254.4285714,310528235,4.0996738367347
"2","Qma7QYhQwxAbxgpEFXzDdjfUpkxweUTrRtzBzMtRH2oBHF",435,290.489795918367,85329014.3673469,202043259,3.11752255102041
"3","Qma86jtmEg7bmA5a3eAQmhR34nnrkNof2cXToucbXkU9ak",419,284.530612244898,86572162.2244898,194018763,3.93968702040817
"4","QmaD4fSDVwoNEWEpLnEcsYqzFrNq26XvsXnNMkRx1TQRv3",492,305.142857142857,90191802.7755102,211099573,3.85148136734694
"5","QmafquXeT31DyytZgkqE3Vmrcno2Td3PSLB6ktjVDfCDcV",429,283.836734693878,87114679.8367347,193590416,3.13163885714286
"6","QmahZ8wRa2RXQc84atZXYnzE9BvkzgZMvxf99kcvHBgn7K",441,309.918367346939,93539426,210555998,5.82294334693877
"7","QmaikW54vjMdK79mq1JyN8QzFNccunp9adTXchDrUvvByS",422,279.265306122449,78799348.6122449,193447936,7.01802151020408
"8","QmaJQQAsmKpNqkRcavZycE5Kih9GZ8znYuJWhetykMKoHs",460,302.632653061225,86469824.2040816,212497590,3.66523885714285
"9","Qmak6wXQP14F85GQ2uiKdfivvE1NBVKVxrmHtCArcYWGBv",455,311.081632653061,89677985.1632653,218038831,3.36481648979592
"10","QmaPLAh1WahaFNgUCeKVTAX2gseFMcC95cZr4zP48Z132Z",404,258.877551020408,76129105.122449,175886887,6.86155889795919
"11","QmatBjKWQ9Vb7zva1BiQqBKtrs1XxbrnjjDhkTHbR3dbhu",430,297.244897959184,90813311.9795918,202645557,3.78602897959184
"12","QmaTETHuNNxj6Vq5QUywqTQHuyYd8GHCg6Mn5wbHXFe93Y",462,288.428571428571,89477484.4081633,194329615,4.62147202040816
"13","Qmay5wSt32RG9tBzcXY9myxy2WQVK4MCpkVVk1aWVMT2My",494,353.836734693878,88646999.755102,260977486,4.21224893877551
"14","QmaZDxhrup13c45CcESo9kTMhb7zM571XxD6f1rP6GzBAG",428,291.040816326531,86224271.9387755,201825221,2.99132338775511
"15","Qmb2NFykoarUo9HNxNwshPjE4U6bjwqUwt7Vp4vcyHNnQG",462,296.183673469388,92477093.9591837,201032965,2.67361451020408
"16","QmbmgCvJ3ChqzDQhnqKxXmQT23crc34o3LkJYcSgGiCUqS",369,246.69387755102,80437953.244898,159282339,6.97358530612245
"17","QmbutDKdLVZGRaGoEqX99otg2i8AKsUsuqihRERbAEGT1D",419,283.326530612245,85688822.3673469,193610341,4.02736724489796
"18","Qmc9Y6KkbZU4qHuVj8jJd7KQMA8qo3ggzm4LnAHScX7c4T",420,281.775510204082,84975767.8979592,193792274,3.00746830612245
"19","QmcbtDMnHX952H7P8upL7187yT8Cwg5MB5xr9CJdx45a2M",485,332.081632653061,93729021.4897959,235391764,2.96084716326531
"20","QmcNCSixoNscQjmBWqzSmy8MnQqFqu9wJFfSynqjYgms78",442,287.061224489796,87286415.7755102,194091593,5.68321571428572
"21","QmcVir9uZ6Mm8p9r6q8mhjY8KbjucpHNryLQwbvNpWLRQW",426,286.959183673469,90403232.877551,193776613,2.77933779591837
"22","QmcZnEGBfvvFpzqNJYTcGPeeThzC9TZoJjwYyPT47We3Te",356,233.897959183673,75417966.3469388,151679163,6.8008298367347
"23","Qmd3S17pMKBKNXTUGJDd9jRzun7i7tb5VmH5Q4i12QVoRk",469,311.285714285714,89135745.1632653,218519420,3.63054912244898
"24","QmdEPRPTCQ7NQ1sPZZuB2gbeUfvxgZZbAuayS8EmAgMWx6",425,295.081632653061,88848035.4897959,202040431,4.19316616326531
"25","QmdF6wmTtUatPxTmpkbtiGTZKLeYt1j233Mi6hmKh7NpDq",451,294.959183673469,89356077.7959184,202401047,3.20205887755102
"26","QmdvmcJKUyQJBkZCHy5Z6ySWqw5ACXtuJULZtZYBRK3JhD",412,270.714285714286,92127117.8163265,176197116,2.39005189795918
"27","QmdYtG1a6XLStgjVx8PQeVsNbUqW9pqGw7LVhyStRFr5q4",424,281.755102040816,90810870.6734694,184837610,6.10662136734694
"28","QmdzEzpZQhKmcds8TbNMnr3Z4zSQBXqjRmcW9wzSXFr5D2",469,324.34693877551,91663871.3877551,226431422,6.2516453877551
"29","QmdzfXq631WcjEbNfWmTWn4kap1pnRzce8J6TfRMcyuGTk",423,265.224489795918,91315825.3061225,168065469,5.84319548979592
"30","Qme13UNfBC8E9MZnXy7642BBoU2bthjPUNHyVyASFY7j6g",462,317.612244897959,88676893.3061225,226638227,2.29712459183673
"31","QmeiHS3qszGSFS7m3mvkrsHuSnh2usjNNnp1gdqTW541mV",422,292.448979591837,87672019.4693878,201102667,3.67429312244898
"32","QmexcXpeuLCiH41tRvfauD8Vyi3GGLhBpymk759PZF6MAt",429,291.69387755102,85765882.2857143,201525219,4.40277626530612
"33","Qmf18bNqfZWRDpEgLqviXN15FyPLzRa6Yzjw4ksMuUhzWE",417,292.571428571429,86601202.6734694,202230323,3.73990289795918
"34","Qmf1k6kuWBpe3ccekkm1j5RttwZUXWuv1vyxxT5cdS4RhT",422,269.183673469388,89752908.7755102,176788368,2.64239669387755
"35","Qmf9snGkMAPWFr2cZFr6cyErHBoCe8rFJBsA4aGDT8aCjv",464,323.020408163265,91265791.8163265,227002636,4.75198034693877
"36","QmfDKhUhTabpK1ieuvqRf7CwMF1dUPCSHXLTpeYJC7tHzG",441,283.612244897959,86358413.6530612,192945968,4.30786324489796
"37","QmfQ8MtUboaB3R4LxCYBE14Gx3ihK8mSkYtUQYHxpPFJGE",444,301.469387755102,87348787.7755102,209918940,4.20165997959184
"38","QmfZKwa1nUZnKziCDBgXstbW8Pp11ywV3LYNJMEforrFMx",449,322.34693877551,80392553.5306122,235156589,6.79779624489796
"39","QmNg8xKG1Rq3KDBDGMuPR7mTWNTjPdcWhKAon5a69dosF8",409,270.244897959184,87681145.4489796,176785785,5.77796751020408
"40","QmNgm8c8a6XU28MCZKqBQ44PiHtgsfLemQbDvZgjB5VzWh",422,286,88654307.1836735,193311245,4.03444781632653
"41","QmNoaJP2MdsLtXntmuYf75H54gyr1PYZWcapeqt8Gkm4GU",377,246.530612244898,80100224.1632653,159817963,6.61242508163266
"42","QmNsW86QG8hqUnXuebACRTD9bCJD8kFT38gtv5wd8Ze7Vb",471,291.510204081633,91156350.6734694,194899393,5.45446040816327
"43","QmPBW5pQ2gee4ZU5KCyppCXRE3wjKXxczf2fkunhaSFu4H",493,351.775510204082,87564210.755102,261199120,3.01217944897959
"44","QmPdLSQeJWCDVRcvpa2Cgq3imu7uxnvEQYiXhcmxuVU1nR",485,322.428571428571,90001787.0816327,227158139,5.26864534693878
"45","QmPUmr2uWNwxQDC8RXoWVvngp67pTouxmwp4bagPy4eonb",449,297.612244897959,90903883.4897959,202835588,3.87277340816327
"46","QmPzoW1uyqFbr3SbYGiuzDLowoZa5kmr122voWci5U4C98",443,309.897959183673,87329941.9183673,218661995,3.90602226530612
"47","QmQ2adscK83JR38d5UHJF33awpmyuK6JpC3BbhdPNEnqeF",418,294.673469387755,87255637.755102,203449406,3.96842563265306
"48","QmQ45jmdY2gg4TCMBq7Xv9gFdXsC1uwRoUBLmhRwAACDkv",446,292.510204081633,86607724.5918367,201813876,4.08860348979592
"49","QmQcHB3MsHKTsefEmAbtNsToLjyZkRjV6jLwhCAaPxULs8",356,228.448979591837,78655332,142819573,6.97407459183673
"50","QmQvWcBiHs8dckruPPqNyVsAXke6qrFBBAyY6FKXvkBNXB",454,284.122448979592,88437815.1836735,192688990,2.99564379591837
"51","QmQXJLovQ4Lkj2e9va5aGi4stUCSyZMnNWFHF2XVLbHmuK",473,317.204081632653,87154856.1020408,226769048,3.28017753061224
"52","QmR2aiwaeYhLYJjz88fnFGMzNZLC5WzFAD66YXEqipK9zK",427,295.081632653061,90461039.3265306,201376017,3.24457632653061
"53","QmR31qwdPtikN5BxXauUHZnsVg5JXsctTavegdEHy1Fbda",403,274.714285714286,74851158.5306122,193704800,6.15832718367347
"54","QmR5NMFpckZWS5MFaKospVFsxFr3RGjX4hbKFs584nk8bS",456,329.30612244898,89266054.5918367,236215517,3.82455085714286
"55","QmRgCCAvLLHb2TVkXzHygFpFc6CXYwkk4QXwcUWM8zRsho",466,278.142857142857,86166428.2040816,185000708,6.97572093877551
"56","QmRiUSkBkSdqLtNjd47HFbWqc6DLPUDd9EQePiTvbLYkYo",454,289.612244897959,93182430.3673469,192134968,4.29484653061225
"57","QmRJijcPPrYpumXzmYfrSbyG8jtL5iTR4rU79Ytufh5Qku",465,331.408163265306,90273596.4693878,234296968,6.83759879591837
"58","QmRoRcdrt5hqmhQSorXbGeNtSyjKy84eMvPpKnB3zr3ACS",466,328.469387755102,88694177.4489796,236111856,3.66335430612245
"59","QmRvDakZ6UbtSza6xidpEubFtoa4siShb5VyYEv4dmQb2H",360,238.387755102041,79118047.1020408,152118457,7.151251
"60","QmS1e1XNUXAhddKXMhGQmscuK9T7BnuZHrMt95UagY2hxk",436,294.34693877551,88706602.3673469,202617797,3.02253940816326
"61","QmS6icYwFiNqjpHaY62vM5ZsdqfKyCpCKLAn8rxN1jrzBw",412,261.081632653061,88231100.9183673,168682995,4.16753673469388
"62","QmSh5xcMmiNRWPVZzzfaKjeZHyhz7AmHMMMe2ZiMpAzNLr",434,277.326530612245,90197887.4489796,183552176,3.57646716326531
"63","QmSkTMbmG2c7z8SLRLJwh2hgioBYQAvh8ZfoEXFqNwxwMd",420,246.551020408163,80258606.8163265,159401252,6.89116159183673
"64","QmSmvkA1GvTrPtQ9g93j7VMvtyG3pZqn1zJNHpMNhnxgj4",472,335.979591836735,89936326.3265306,242361724,3.68154151020408
"65","QmSNcuj5USt2dewD6iR3ojukzAUshGHEWSHPyrBufqisSH",446,293.551020408163,88842261.7959184,201047659,3.6610996122449
"66","QmSNTF9RBZ1iwkbxpog9XVTFQaqVJTFUcuENcRb6oaULN2",401,270.183673469388,90445551.6326531,176205284,3.5328378367347
"67","QmTKEuuL5KkoaQdxio42JzRpxafEZcWK4qTYoDfNHPUSPx",406,275.122448979592,83488347.4081633,185525309,6.10879257142857
"68","QmTMDnDbYKmR6tT5iKSRdVzKaZbipYENVK9cRZHLaqxNzc",414,286.224489795918,88068094.4489796,192765854,5.39054134693877
"69","QmTZv2gZfv74zHZurQz3rJk7PjXoBFPrFRp3e2oGXcGYog",486,347.571428571429,90363767.7959184,251446393,5.76126777551021
"70","QmU2i4zT674kqAoMWHqnBn1cX38YoqohYyRzf8NXuMTWGt",496,298.326530612245,93673991.755102,201953650,2.69888885714285
"71","QmU8JnasUmaDzcrTGKXSv3BBksTncgY3QwQTLqAv4K26o8",453,293.69387755102,87624711.8571429,202818322,3.25084369387755
"72","QmU93hL9dRfi5zUtcHofrMC1FBtnm5pMmDQTpe3S5ZCaVJ",472,279.755102040816,88055336.2857143,184460267,7.23949875510204
"73","QmUBp3dMx3dXdw8E3gh7g1AL9xHPiaXDVUfXjUeiNnRJ1X",401,254.857142857143,79799462.0612245,168157950,6.89973079591837
"74","QmUDp7UCmvLkcEZxdJHSJtmgtrom3pyhYP1FjohPgYBzsa",1121,667.734693877551,296003398.346939,368891376,2.83991953061225
"75","QmUiSSUftpjR24Syyeocjgd7HwZP8eXQgARctQGfUge9xX",430,283.857142857143,85611006.4489796,192718603,5.52753340816326
"76","QmVC774amGwNradZvNnKrXHTeb9z329veE6Z14P5GSyxwC",425,288.510204081633,79891493.0612245,201644930,6.97378102040816
"77","QmVCKQX8zRAYCeUYXQQtD6V8ukCNYCFXYDeg1VFAvkpqef",426,282.979591836735,84973318.6734694,193492891,4.51338216326531
"78","QmVtVY1zTNnx6hbAbR5LT8LBTM3b1RuTL3TtYmx7ZJA3pS",455,297.673469387755,89711236.2653061,202070602,5.89163112244898
"79","QmW6JqQ29z2hXqhwEZxy9aaCCGRLqiDQWq66ZJWq4BMSiy",512,296.020408163265,90174628.5714286,201705348,4.14043159183673
"80","QmW8uQzfm7Z6iR5NAYo5xDXst5wsjL8KPiWBtmipXb65az",521,384.632653061225,86964104.122449,293290955,4.37759393877551
"81","QmWCX4EXfi9SqUVmde66Gwub5ySGkziC6x8aJSmSkYoWrv",467,293.69387755102,87893164.877551,202149203,3.65150967346939
"82","QmWff8JdVzNQ8ekR29oZYun44u25hYSLu4qT79B9Fvk17Y",467,299.387755102041,93883340.7755102,202338254,3.16616032653061
"83","QmWGWKrVQxCGQQbojAANoLWrjugYMDs8eoSf1HDCrcb4Cr",451,288.102040816327,91600402.5918367,193054681,3.4469572244898
"84","QmWipE25B596eUsYgnnuwVEnTfzaAeavrSDfofq83edFtP",435,297.122448979592,88155311.7346939,203353519,5.61361824489796
"85","QmX1MuNQfUezvSGA2gL6C1GjXvWCk1cfSNSBMN4W9i8Xen",467,319.816326530612,89370825.9591837,227093749,3.35175157142857
"86","QmX52eX2LQjL3S5Yche7XysZTRS1xP1E7VpM6BE3mRV6eF",437,308.34693877551,86839862.8367347,217937547,3.56952893877551
"87","QmX9DvKDNgkEpCDRrmZUb5Ar9H5Wru7pQfzkQjAADDHphu",420,283.489795918367,86552752.4897959,193182431,3.75461242857143
"88","QmXaB33naoNr2cMnrSpqs8fcUhKzmXyzmRmJ6er2Z84hSG",441,288.122448979592,89735085.122449,193880138,4.50722585714286
"89","QmXDbkMYyaTCmhc625fCq7tGfDn1DoUWDPVEU1nc99Pv3z",368,254.510204081633,78023912.3265306,169237220,7.24907175510204
"90","QmXEck2SqSBwV1E23XCPMQ8h8XbuX77Y3Ud42k2Rajkwbw",447,305.571428571429,87788314.3061225,210672911,7.11020326530612
"91","QmXHkh4zYTWsWNssgSR85ZZQYVCBMvv9JcxUdFCfbMkKtG",441,295.428571428571,89477053.4285714,202084349,3.86716900000001
"92","QmXHqpobUtaEkfiJ4KqwPgqwTZVopWHsY95BQQzBBo9MEw",417,282.367346938775,87270717.2653061,192247716,2.84891367346939
"93","QmXpwtPBrVcFpEPnyW6nzBwsCGj2oPJjeJBgEPaCFpACV2",479,311.714285714286,89284456.7959184,218736499,3.69332991836735
"94","QmXuF6bEBghpL1TtAvHwFkca8NVq2ft1M4icgSdKU8zNoN",434,289.591836734694,85768554.5714286,201031379,2.79190316326531
"95","QmXYxuwLwMMfHD665oTbAFykNDj5FrQYrp57yez5k5UaWo",440,293.489795918367,88511361.0612245,201884271,3.09416385714285
"96","QmXzdD7zmtcrWUpmwNKJEszpiXrcUks4GDV2Xb6KW7YTBa",425,291.816326530612,87247041.0204082,201572980,2.99630551020408
"97","QmXzVuYCcLkLgVnHA39pFvhkZKiPZRP5Vnwx2LWB3pt8Gp",571,433.571428571429,82244715.8163265,343655672,7.67104075510204
"98","QmYJZ1sVrorMPefjt3sMunBtcwvcVnEoXgLYa1AaJhW4FZ",431,286.510204081633,90562491.1428571,192837859,3.10985393877551
"99","QmYrCNwcQRmWsqUTwkES6eaCTywz9cpwwkGWTX7ko83ZVw",451,301.612244897959,87900365.9795918,210341131,3.37074791836735
"100","QmZdzoP4B4bDC9rAeWGTAEMxmxjuUt912ikoZGirb7k5gf",540,371.448979591837,90113178.0408163,277436894,3.89890755102041
"1","Qma2FkfP7ULtZuWg6Nbck5xwzaP24kuYyQ1e5VULmNbUj9",426,292.918367346939,91673233.0408163,201735300,-0.490165693877548
"2","QmajGcfSCNVurkqvZxHu7bWbXvGjdYhqQxHqoqQymjSw14",440,283.020408163265,87074740.9591837,196869200,-0.923532795918364
"3","QmaPAdBCN1MCWKubLV6aT8fcZiDAiJATBBdPuF5A7ey6Nr",510,372.469387755102,87957405.6326531,284844472,-0.332489877551017
"4","QmaWyDytuU8D9xP8cNjcyVmGFTuMTVcDs52G35Uyh9F9Th",415,267.755102040816,90063923.1632653,176890221,0.800957877551021
"5","Qmb6trHQVyHpivt691yFF2ezJHgHQaC8p9GWFerNa9FDpy",408,266.469387755102,88842604.3673469,178582969,-0.956185612244896
"6","QmbbWUWNpzrsW32RDJhAtGMR1vWpPQovHm34EZb3WoRdsS",475,323.183673469388,88311918.755102,235380576,-0.508821285714284
"7","Qmbc626iNxXau9UmhumnEooHbRJb4o5VEfBbzbsFGQx9bp",515,356.69387755102,87720793.7142857,268940502,0.0325818367346932
"8","QmbkKtJ6D3pAPzjvuy3yCCsWv5u5AgBp15myiq6d94AakS",406,267.795918367347,91167084.2653061,177567020,-0.938185897959183
"9","Qmbkziox9hzQGPvRcTAzqDypuH39yfmx2cLAnsyQtvUcXt",444,299.326530612245,91382498.5102041,209314228,-1.37019589795918
"10","QmcBKAN49wijR9VRzksZoU8SvSRSmFFAtaSJTxs9zQkWTV",439,280.020408163265,93704297.4693878,186894129,-0.578018306122452
"11","QmcdjqNNMzvGFo8RqXmkDEn4bweZHc33fPiCquWaEShQ16",347,215.897959183673,72938869.3265306,142757086,0.202003857142858
"12","QmcKiAj8LUtEP5jYX9uJSkQbYRrqubA23wCkjD4P3RiR9Q",445,259.040816326531,91075328.7142857,168563195,-0.597707387755102
"13","QmcqetvSbKGo56yLDyX7r3xmSfHxL5AfJuHTgm1QmHhu4x",363,226.673469387755,75291882.8367347,152329520,-0.947933448979591
"14","QmctawuiT2AhEpoxFyyVRqQQkFUMtRpmCdyCSk3AoFaaPY",442,300.142857142857,89477754.6530612,210652966,0.0121364897959193
"15","QmcYcBNmkJQD9UCUrZAAYQ3TpNxfCuU8mV4akv8GEwPD8a",456,312.163265306122,94600635.3877551,218369466,-0.806836081632654
"16","Qmd5v7ccmPgnthkYxFdJ3TZzsQLkyAk9uyA2CCLRj5pUZd",392,244.326530612245,93267274,151977052,-0.9177953877551
